srg,mcp
func_529_c,generateTrunk
func_530_a,pickCheckLootItem
func_531_b,pickMobSpawner
func_532_a,unloadQueuedChunks
func_533_b,provideChunk
func_534_a,populate
func_535_a,saveChunks
func_536_b,canSave
func_537_a,chunkExists
func_538_d,loadChunk
func_539_c,unloadChunk
func_540_b,saveChunk
func_541_a,saveExtraChunkData
func_542_c,func_542_c
func_543_c,func_543_c
func_547_b,drawString
func_548_a,drawCenteredString
func_549_a,drawGradientRect
func_550_b,drawTexturedModalRect
func_551_a,drawRect
func_552_a,addChatMessage
func_553_b,setRecordPlayingMessage
func_554_a,renderInventorySlot
func_555_a,updateTick
func_558_a,getHoverState
func_559_a,mouseReleased
func_560_b,mouseDragged
func_561_a,drawButton
func_562_c,mousePressed
func_564_d,handleInput
func_565_a,mouseClicked
func_566_e,handleMouseInput
func_567_a,drawWorldBackground
func_568_a,confirmClicked
func_569_f,handleKeyboardInput
func_570_g,updateScreen
func_571_a,drawScreen
func_572_a,actionPerformed
func_573_b,mouseMovedOrUp
func_574_c,getClipboardString
func_578_i,drawDefaultBackground
func_579_b,drawBackground
func_580_a,keyTyped
func_581_a,isCancelled
func_582_a,setNetClientHandler
func_583_b,getNetClientHandler
func_584_c,selectWorld
func_585_j,initButtons
func_586_d,getWorldName
func_587_j,drawGuiContainerForegroundLayer
func_588_a,getSlotAtPosition
func_589_a,drawGuiContainerBackgroundLayer
func_590_a,drawSlotInventory
func_592_j,getRand
func_593_a,setLoadingProgress
func_594_b,displayProgressMessage
func_595_d,resetProgresAndWorkingMessage
func_596_a,resetProgressAndMessage
func_597_c,func_597_c
func_598_c,getLightBrightness
func_599_f,getBlockMaterial
func_600_a,getBlockId
func_601_g,isBlockOpaqueCube
func_602_e,getBlockMetadata
func_603_b,getBlockTileEntity
func_604_a,checkNoEntityCollision
func_605_c,isBoundingBoxBurning
func_606_b,onEntityAdded
func_607_d,removeEntity
func_608_a,spawnPlayerWithLoadedChunks
func_609_a,getClosestPlayerToEntity
func_611_g,notifyBlocksOfNeighborChange
func_612_i,onBlockHit
func_613_a,addWorldAccess
func_614_g,getFirstUncoveredBlock
func_615_b,deleteWorld
func_616_a,scheduleLightingUpdate
func_617_e,notifyBlockChange
func_618_j,getBlockLightValue
func_619_c,getCelestialAngle
func_620_h,chunkExists
func_621_b,countEntities
func_623_a,playSoundAtEntity
func_6231_c,clearApplet
func_6232_b,shutdown
func_6233_a,startMainThread
func_6237_k,usePortal
func_6238_a,displayDebugInfo
func_6239_p,respawn
func_624_b,isDaytime
func_6240_b,getMinecraftDir
func_6241_m,debugInfoRenders
func_6242_u,forceReload
func_6243_a,clickMouse
func_6244_d,shutdown
func_6245_o,debugInfoEntities
func_6246_i,runTick
func_6247_b,startWorld
func_6248_s,screenshotListener
func_6249_a,resize
func_625_o,isBlockIndirectlyGettingPowered
func_6250_c,checkGLError
func_6251_l,getOpenGlCapsChecker
func_6252_g,displayInGameMenu
func_6253_a,startMainThread
func_6254_a,sendClickBlockToController
func_6255_d,preloadWorld
func_6256_a,changeWorld
func_6257_q,loadScreen
func_6258_a,setServer
